TableName,Schema Backup,Data Backup,Custom Backup,Remarks
R_METER_CHG_LIST,y,y,n,don’t know purpose
R_METER_CHG_LIST_HIS,y,y,n,don’t know purpose
R_SURPLUS_CASES_FROM_HT,y,y,n,don’t know purpose
R_SURPLUS_SER_DET,y,y,n,don’t know purpose
R_TO_UPD_MNS_LIST,y,y,n,don’t know purpose
R_TO_UPD_MNS_LIST_BK,y,y,n,don’t know purpose
R_TO_UPD_SEC,y,y,n,don’t know purpose
SERVICEMASVIEW,y,y,n,
SURPLUS_01052020,n,n,n,
SYS_EXPORT_SCHEMA_01,n,n,n,
SYS_EXPORT_SCHEMA_02,n,n,n,
SYS_EXPORT_SCHEMA_03,n,n,n,
SYS_EXPORT_SCHEMA_04,n,n,n,
SYS_EXPORT_SCHEMA_05,n,n,n,
SYS_EXPORT_SCHEMA_06,n,n,n,
SYS_EXPORT_SCHEMA_07,n,n,n,
SYS_EXPORT_SCHEMA_08,n,n,n,
SYS_EXPORT_SCHEMA_09,n,n,n,
SYS_EXPORT_SCHEMA_10,n,n,n,
SYS_EXPORT_SCHEMA_11,n,n,n,
SYS_EXPORT_SCHEMA_12,n,n,n,
SYS_EXPORT_SCHEMA_13,n,n,n,
SYS_EXPORT_SCHEMA_14,n,n,n,
SYS_EXPORT_SCHEMA_15,n,n,n,
SYS_EXPORT_SCHEMA_16,n,n,n,
TEMP_BANKING_SOLUTION,y,n,n,
TEMP_BUYER_UPDATE,y,n,n,
TEMP_COMMERCIAL_MASTER,y,n,n,
TEMP_HT_ADJUSTMENT_MASTER,y,n,n,
TEMP_MISSING_MR_SERVICES,y,n,n,
TEMP_RESULTS_PLS_FLUSH,y,n,n,
TEMP_TECHNICAL_MASTER,y,n,n,
TEMP_V_COMP_REFRESH,y,n,n,
TEMP_WEG,y,n,n,
TMP_GEN_SS_LOSS,y,n,n,
TMP_GEN_STMT,y,n,n,
TMP_GEN_STMT_CHARGE,y,n,n,
TMP_GEN_STMT_SLOT,y,n,n,
TMP_M_SECTION,y,n,n,
TO_UPDATE_LIST,y,n,n,
T_ACTIVITY_LOG,y,n,n,
T_ACTIVITY_LOG_050719,n,n,n,
T_ACTIVITY_LOG_050719_2,n,n,n,
T_ACTIVITY_LOG_100719,n,n,n,
T_ACTIVITY_LOG_110719,n,n,n,
T_ACTIVITY_LOG_28012020,n,n,n,
T_AMENDMENT,y,n,n,
T_BANKING_ACTIVITY,y,n,n,
T_BANKING_BALALCE_AUG06,n,n,n,
